00:00:00,7e0:01:0f,7e0:01:42,7e0:01:0d,7e0:01:10,7e0:01:0b,7e1:15:1e,7e0:01:0c,7e0:01:04
01 a8 0c 00,34,37 a9,00,03 be,63,,0b f8,72
ea ab 0c 00,34,37 d0,00,04 94,63,,0c e4,ca
d3 af 0c 00,35,37 e4,00,0a 3b,69,,14 04,bb
ba b3 0c 00,35,37 f7,01,06 ae,70,,10 08,69
a2 b7 0c 00,35,37 d0,02,05 80,69,,0f 40,71
89 bb 0c 00,35,37 d0,02,04 9c,66,,0e 70,6c
71 bf 0c 00,35,37 a9,02,03 ed,65,,0d 34,65
5e c3 0c 00,35,37 d0,02,03 8e,63,,0c 3c,61
47 c7 0c 00,35,37 96,02,03 89,63,,0c 24,64
2e cb 0c 00,35,37 a9,00,03 97,63,,0c 24,66
16 cf 0c 00,35,37 d0,00,03 a5,63,,0c 34,63
fe d2 0c 00,35,38 0b,00,04 5f,64,,0c 60,81
e6 d6 0c 00,35,37 d0,00,06 7a,66,,0f 70,7c
ce da 0c 00,35,37 82,00,03 f8,66,,0c 4c,56
b5 de 0c 00,35,38 0b,00,03 cc,64,,0c 2c,61
9d e2 0c 00,35,37 a9,00,03 b3,63,,0c 2c,66
85 e6 0c 00,35,37 a9,00,04 e1,63,,0c cc,88
6d ea 0c 00,35,37 d0,00,06 98,66,,0f 34,79
55 ee 0c 00,35,37 a9,00,04 1c,65,,0b f4,64
3d f2 0c 00,35,37 a9,00,04 17,64,,0c 78,58
25 f6 0c 00,35,37 a9,00,03 c6,63,,0c 54,4d
0d fa 0c 00,35,37 96,00,03 94,63,,0c 08,54
f6 fd 0c 00,35,37 a9,00,03 b3,63,,0c 04,69
dd 01 0d 00,35,37 d0,00,03 b0,63,,0c 34,66
